Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,G1_V1_time_First Click,G1_V1_time_Last Click,G1_V1_time_Page Submit,G1_V1_time_Click Count,G1_V1_r,G1_V2_time_First Click,G1_V2_time_Last Click,G1_V2_time_Page Submit,G1_V2_time_Click Count,G1_V2_r,G1_V3_time_First Click,G1_V3_time_Last Click,G1_V3_time_Page Submit,G1_V3_time_Click Count,G1_V3_r,G1_V4_time_First Click,G1_V4_time_Last Click,G1_V4_time_Page Submit,G1_V4_time_Click Count,G1_V4_r,Open,Ed,Gender,Gender_5_TEXT,Age,Handed
11,100,112,TRUE,EN,Improving,city,2.115,2.115,3.14,1,Improving,2.291,2.291,3.163,1,Declining,2.093,2.093,3.055,1,Improving,2.207,2.207,3.538,1,Improving,"whether the number went up or down, what was being measured",Associate degree in college (2-year),Female,NA,45,left
12,100,165,TRUE,EN,Improving,city,4.795,4.795,5.777,1,Improving,3.835,3.835,4.826,1,Declining,12.998,12.998,15.64,1,Declining,4.393,4.393,5.228,1,Improving,If the graph went up or down,Some college but no degree,Female,NA,64,left
13,100,195,TRUE,EN,Improving,city,3.379,3.379,6.51,1,Improving,3.02,3.02,4.422,1,Declining,8.31,8.31,12.483,1,Declining,4.31,4.31,5.54,1,Improving,"An increase in the number of murders would mean that the situation in the city is getting worse (declining) instead of getting better. More vacation days would mean the situation is getting better for the workers, while less vacation days means it would be getting worse.",Some college but no degree,Female,NA,43,left
14,100,200,TRUE,EN,Improving,city,4.261,4.261,5.405,1,Improving,2.275,2.275,3.116,1,Declining,4.338,4.338,5.295,1,Declining,3.432,3.432,4.786,1,Improving,an increase in murders is not an improvement like an increase in cars,"Professional degree (JD, MD)",Male,NA,30,left
15,100,92,TRUE,EN,Improving,city,0.804,0.804,1.983,1,Improving,1.553,1.553,2.832,1,Declining,1.411,1.411,2.894,1,Improving,1.621,3.948,4.319,2,Declining,I just looked to see if the line went up or down,Some college but no degree,Male,NA,55,left
16,100,149,TRUE,EN,Improving,city,4.671,4.671,6.467,1,Improving,3.402,3.402,4.921,1,Declining,3.643,3.643,4.71,1,Declining,2.641,2.641,4.466,1,Declining,"Well,I just read the facts and looked at the charts.",Some college but no degree,Male,NA,50,left
17,100,259,TRUE,EN,Improving,city,4.083,4.083,8.518,1,Improving,5.337,5.337,9.355,1,Declining,21.351,21.351,24.259,1,Declining,3.63,3.63,8.812,1,Improving,I looked at the explanations on the side and the bottom of the graph.  Then I looked at the graph line.  Then I looked at the question. ,Doctoral degree,Female,NA,72,left
18,100,155,TRUE,EN,Declining,city,4.441,6.042,8.614,2,Improving,2.697,5.088,6.074,2,Declining,1.154,5.239,7.272,3,Declining,3.164,4.974,6.073,2,Improving,if it was something bad you wanted it to go down ,Some college but no degree,Female,NA,35,left
19,100,135,TRUE,EN,Improving,city,1.439,1.439,2.504,1,Improving,1.832,1.832,2.906,1,Declining,4.778,4.778,5.533,1,Declining,2.251,2.251,3.677,1,Improving,Based on the situation I choose if a certain situation was improving or declining if murder rate went up  then i went with it declining ,Some college but no degree,Male,NA,38,right
20,100,188,TRUE,EN,Improving,city,3.047,7.541,8.568,3,Improving,1.719,3.385,4.723,2,Declining,1.586,3.007,4.217,2,Improving,1.407,2.664,3.651,2,Declining,I observed the graph and tried to determine if the numbers were rising or declining as the years passed.,Bachelor's degree in college (4-year),Female,NA,38,left
21,100,59,TRUE,EN,Improving,city,2.13,2.13,3.301,1,Improving,2.627,3.481,4.479,2,Declining,1.223,3.543,4.571,2,Declining,1.619,1.619,5.33,1,Declining,According to what the info said on the left,Bachelor's degree in college (4-year),Male,NA,39,left
22,100,317,TRUE,EN,Improving,city,4.947,4.947,5.752,1,Improving,7.84,10.248,11.206,2,Neither declining or improving,6.302,6.302,7.461,1,Declining,5.003,5.003,6.105,1,Improving,"More murders = bad; Less murders = good
Vacation days is a matter of opinion.  More vacation days would probably mean the situation is improving, but it could also mean that people are getting lazier.  ",Bachelor's degree in college (4-year),Female,NA,48,left
23,100,240,TRUE,EN,Improving,city,5.31,5.31,7.041,1,Improving,3.619,3.619,5.512,1,Declining,6.129,15.181,16.036,5,Declining,5.891,5.891,8.819,1,Declining,There was definietly a decision on what 'improving' meant.  I tried to decide first what it meant and then picked one.  The tough one was murders.,Bachelor's degree in college (4-year),Male,NA,60,left
24,100,73,TRUE,EN,Improving,city,0.833,0.833,1.869,1,Improving,1.084,1.084,1.763,1,Declining,0.882,0.882,1.544,1,Improving,1.477,1.477,3.287,1,Declining,"I looked at the direction and angle of the graph given to me. If it was heading upwards it was improving, if it was heading down, it was decreasing.",Some college but no degree,Female,NA,24,right
25,100,117,TRUE,EN,Declining,city,5.445,5.445,6.894,1,Improving,2.772,2.772,3.416,1,Declining,2.704,2.704,3.589,1,Declining,2.485,2.485,3.392,1,Improving,"x axis
y axis
whether the thing being measured was desirable or not
which way the line moved",Bachelor's degree in college (4-year),Male,NA,36,right
26,100,105,TRUE,EN,Improving,city,1.755,1.755,2.618,1,Improving,3.538,3.538,5.016,1,Declining,1.476,1.476,2.553,1,Declining,2.801,2.801,4.716,1,Improving,Increasing violence was always a negative. Things such as increased vacation days were a positive.,Bachelor's degree in college (4-year),Male,NA,28,right
27,100,153,TRUE,EN,Improving,city,3.05,3.05,4.612,1,Improving,3.241,3.241,4.295,1,Declining,3.6,7.16,8.623,2,Declining,4.425,4.425,5.814,1,Improving,"Had to look if 'murders' and 'vacations' and 'cars' were good things, or bad things.  A decline in bad things is an improvement.  An increase in bad things is a 'decline'.  ",Master's degree,Male,NA,49,right
28,100,183,TRUE,EN,Neither declining or improving,city,1.554,1.554,3.243,1,Improving,3.57,3.57,6.773,1,Declining,2.493,2.493,9.696,1,Declining,1.76,1.76,2.964,1,Improving,"I assessed the graph in terms of the context given. Just because the graph was trending upwards did not necessarily mean things were ""improving"". For example, if the murder rate was going up, I said that the situation was ""declining"".",Bachelor's degree in college (4-year),Female,NA,35,right
29,100,98,TRUE,EN,Improving,city,3.269,3.269,5.596,1,Improving,7.624,7.624,9.389,1,Declining,6.508,6.508,7.984,1,Declining,3.283,3.87,5.368,2,Improving,Whether the category in question was a good thing or bad thing.,Bachelor's degree in college (4-year),Male,NA,32,left
30,100,239,TRUE,EN,Improving,city,2.815,2.815,4.9,1,Improving,5.492,5.492,8.689,1,Declining,1.946,1.946,4.101,1,Declining,3.245,3.245,6.21,1,Improving,"Lower average murders would seem a better situation, and higher worse.
People and companies being able to afford more vacation time would seem to be a better situation, and less vacation time would correspond to a worse economy.",Master's degree,Male,NA,43,right
31,100,220,TRUE,EN,Neither declining or improving,city,3.146,3.146,3.871,1,Improving,1.806,1.806,2.651,1,Declining,2.528,2.953,3.862,2,Declining,1.79,1.79,2.587,1,Improving,I considered whether the topic of the graph was a good thing or a bad thing and whether the graph showed an increase or a decease of that topic.,Some college but no degree,Female,NA,36,right
32,100,226,TRUE,EN,Improving,city,4.056,4.547,5.573,2,Improving,7.515,7.515,9.83,1,Declining,2.956,2.956,5.053,1,Declining,5.914,5.914,7.558,1,Improving,"Well improving could be a number of things. When it came to vacations, I chose improving if the number of days went up over time. When it came to murders, up was bad and down was good.",Master's degree,Male,NA,67,right
33,100,164,TRUE,EN,Declining,city,2.195,3.812,4.899,2,Improving,3.262,4.468,5.502,2,Declining,2.253,3.491,4.754,2,Declining,2.007,3.136,4.141,2,Improving,"Certain things are great - like declinig murders. Others are bad, less vacation days = unhappier people.",High school graduate (high school diploma or equivalent including GED),Female,NA,36,right
34,100,185,TRUE,EN,Improving,city,3.614,3.614,5.909,1,Improving,3.497,3.497,5.792,1,Declining,3.541,3.541,4.939,1,Declining,5.345,5.345,6.818,1,Improving,I just read the graphs and made a judgement,Master's degree,Male,NA,34,right
35,100,163,TRUE,EN,Improving,city,6.419,6.419,8.475,1,Improving,5.975,5.975,7.19,1,Declining,9.166,9.166,13.253,1,Declining,8.126,8.126,9.206,1,Declining,"What the graph was measuring, whether more or less would be beneficial",High school graduate (high school diploma or equivalent including GED),Male,NA,47,right
36,100,558,TRUE,EN,Improving,city,2.675,2.675,3.76,1,Improving,2.649,2.649,3.857,1,Declining,2.654,2.654,5.157,1,Declining,3.936,3.936,5.416,1,Improving,"Well, for example, a graph may have visually shown a decrease in something like number of murders per year, but I interpreted that as an improvement for the city.","Professional degree (JD, MD)",Female,NA,51,right
37,100,215,TRUE,EN,Improving,city,3.84,3.84,6.225,1,Improving,3.572,3.572,8.912,1,Declining,5.753,5.753,15.436,1,Declining,3.452,3.452,6.072,1,Improving,"I decided whether what the graph indicated was a positive or a negative.  So, for example, murder is bad, so if the number of murders is going down, it is improving.",Associate degree in college (2-year),Female,NA,58,right
38,100,291,TRUE,EN,Improving,city,4.426,4.426,8.184,1,Improving,2.757,2.757,5.947,1,Declining,7.107,7.107,10.16,1,Neither declining or improving,2.292,4.044,8.066,2,Declining,I considered if the number of events was increasing or decreasing and if the nature of those events led to an improving situation. If the number of events increasing predicted a more positive situation then I chose improving. If the number of events was going down then I chose decreasing. If the number of events was not going down but the increase led to a negative situation then I chose the option for neither.,Some college but no degree,Male,NA,59,right
39,100,103,TRUE,EN,Declining,city,3.645,3.645,4.18,1,Improving,2.414,2.414,2.7,1,Declining,1.273,1.273,1.757,1,Declining,1.818,1.818,2.372,1,Improving,Whether things were getting better or worse for people in that city.,Bachelor's degree in college (4-year),Female,NA,36,right
40,100,90,TRUE,EN,Improving,city,0.21,3.152,4.024,4,Improving,0.388,2.906,3.851,2,Declining,1.902,1.902,2.879,1,Declining,3.833,3.833,4.693,1,Improving,"The different variables, whether the correlation was increasing or decreasing.",Master's degree,Female,NA,32,right
41,100,1488,TRUE,EN,Improving,city,0.663,0.663,1.125,1,Improving,1.136,1.588,2.017,2,Declining,0.825,1.416,2.124,2,Improving,10.095,10.095,12.438,1,Declining,"When things were edging up, I selected that it was increasing, or if it was edging down, then decreasing. ",Bachelor's degree in college (4-year),Male,NA,33,right
42,100,183,TRUE,EN,Improving,city,2.872,2.872,4.35,1,Improving,12.223,12.223,13.163,1,Declining,8.609,8.609,9.747,1,Improving,2.069,2.069,3.054,1,Declining,The way the graph looks,Bachelor's degree in college (4-year),Female,NA,29,right
43,100,207,TRUE,EN,Improving,city,2.725,2.725,3.502,1,Improving,3.572,3.572,4.392,1,Declining,1.584,1.584,2.267,1,Declining,3.065,3.065,5.01,1,Improving,things would be improving for a city if crime decrease and leisure like vacations increased,Bachelor's degree in college (4-year),Male,NA,28,right
44,100,195,TRUE,EN,Improving,cities,3.759,3.759,4.554,1,Improving,7.251,7.251,9.578,1,Declining,4.218,4.218,5.747,1,Declining,2.667,3.295,3.5,2,Declining,I made my judgements according to the graph and the data given,High school graduate (high school diploma or equivalent including GED),Male,NA,42,right
45,100,126,TRUE,EN,Neither declining or improving,city,4.384,4.384,5.769,1,Improving,2.316,2.316,3.799,1,Declining,2.078,2.078,4.717,1,Declining,2.2,2.2,3.846,1,Improving,murders are bad and vacations are good so I judged the situations accordingly based on if the trend was good/bad and going up or down.,Bachelor's degree in college (4-year),Male,NA,32,right
46,100,3066,TRUE,EN,Declining,city,5.68,5.68,8.401,1,Improving,2.347,2.347,4.053,1,Declining,5.44,5.44,7.009,1,Declining,6.439,6.439,8.191,1,Improving,"First, I considered what the consequence of the occurrence would be. The occurrence of murder is obviously bad, so as the number of murders per year increased, then the situation in the city would be declining because the city is becoming worse and more dangerous. For the occurrence of vacation days used, taking vacation is a good thing and means that people are able to get their work done and take some time to rest and relax. Therefore the more vacation that is being taken each year, then the more people are happy and the situation in the city is improving.",Master's degree,Male,NA,40,right
47,100,168,TRUE,EN,Improving,city,3.983,3.983,5.429,1,Improving,4.05,4.05,5.152,1,Declining,2.404,7.807,11.246,2,Declining,2.777,2.777,4.366,1,Improving,"I looked at the direction of the line in the graph as well as the subject of the graph. If murders were going up, then the situation was declining.",High school graduate (high school diploma or equivalent including GED),Male,NA,32,right
48,100,41,TRUE,EN,Improving,city,1.121,1.121,1.675,1,Improving,0.886,0.886,1.542,1,Declining,1.251,1.251,1.791,1,Improving,0.387,1.324,2.009,2,Declining,I made my decision based on the trend in the graph...,Master's degree,Male,NA,30,left
49,100,265,TRUE,EN,Improving,city,2.927,2.927,4.575,1,Improving,2.292,2.292,3.188,1,Declining,1.797,14.77,16.332,2,Declining,2.244,2.244,4.057,1,Declining,"I took account of the visual graph, but in also the data that was being graphed. For example, an increase in murder isn't an improvement. ",Some college but no degree,Female,NA,37,left
50,100,177,TRUE,EN,Improving,city,4.108,4.108,5.202,1,Improving,4.268,5.018,5.694,2,Declining,3.626,3.626,5.03,1,Declining,3.211,3.732,5.159,2,Declining,I read the information on the left and decided by that,Master's degree,Female,NA,33,left
