StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,instructions1,trick,G4_V1_time_First Click,G4_V1_time_Last Click,G4_V1_time_Page Submit,G4_V1_time_Click Count,G4_V1_r,G4_V2_time_First Click,G4_V2_time_Last Click,G4_V2_time_Page Submit,G4_V2_time_Click Count,G4_V2_r,G4_V3_time_First Click,G4_V3_time_Last Click,G4_V3_time_Page Submit,G4_V3_time_Click Count,G4_V3_r,G4_V4_time_First Click,G4_V4_time_Last Click,G4_V4_time_Page Submit,G4_V4_time_Click Count,G4_V4_r,Open,Ed,Gender,Gender_5_TEXT,Age,Handed
11/02/2019 18:10,11/02/2019 18:11,IP Address,100,75,TRUE,11/02/2019 18:11,R_1FQThDC2hE0sypj,,,,,28.14900208,-82.04109955,anonymous,EN,Declining,city,0.867,0.867,1.433,1,Declining,1.727,1.727,2.332,1,Improving,2.394,2.394,3.099,1,Declining,1.364,1.364,1.959,1,Improving,Gut reaction ,Some college but no degree,Male,,36,right
11/02/2019 18:12,11/02/2019 18:14,IP Address,100,117,TRUE,11/02/2019 18:14,R_2qC7sPtXzSPqNUf,,,,,40.74650574,-73.90899658,anonymous,EN,Declining,city,5.38,5.38,6.709,1,Improving,7.768,7.768,9.861,1,Declining,4.351,4.351,5.409,1,Declining,6.785,6.785,7.796,1,Improving,I considered what constituted improving vs. declining and the label on each axis was in order to make an accurate assessment of the trend.,"Professional degree (JD, MD)",Female,,24,right
11/02/2019 18:22,11/02/2019 18:25,IP Address,100,184,TRUE,11/02/2019 18:25,R_26c36HyhgrZ5uiH,,,,,32.92599487,-96.96659851,anonymous,EN,Improving,city,3.401,3.401,4.482,1,Improving,7.695,7.695,8.596,1,Declining,2.881,2.881,3.718,1,Declining,5.211,5.211,6.089,1,Improving,I looked at the graph.,Some college but no degree,Female,,35,right
11/02/2019 18:21,11/02/2019 18:25,IP Address,100,228,TRUE,11/02/2019 18:25,R_2PwoSprYaHUlSYt,,,,,30.16099548,-81.73110199,anonymous,EN,Declining,city,2.858,2.858,6.106,1,Improving,3.625,6.936,12.787,2,Declining,4.721,4.721,5.962,1,Declining,4.997,4.997,7.742,1,Declining,I will say that the line confused me at times because I would think that the oldest year would be at the bottom and move as the years went by. There was also pressure to answer quickly but I did try to pay attention to the placement of each year and then answer based on if the line moved left or right to indicate a declining or improving situation.,Some college but no degree,Female,,45,right
11/02/2019 18:28,11/02/2019 18:31,IP Address,100,192,TRUE,11/02/2019 18:31,R_31yMa7vg3UgvonK,,,,,46.83929443,-100.7819977,anonymous,EN,Improving,city,2.986,2.986,4.016,1,Improving,3.837,4.58,5.877,2,Declining,4.154,4.154,5.524,1,Declining,6.919,6.919,11.625,1,Improving,"I decided if the event that the graph was about was good or bad. If it was bad like murders, decreasing would be good over time while increasing would be bad, and vice versa for good events.",Bachelor's degree in college (4-year),Male,,32,right
11/02/2019 18:34,11/02/2019 18:37,IP Address,100,224,TRUE,11/02/2019 18:37,R_2CrgtQgbcEYiXdL,,,,,42.27960205,-71.12819672,anonymous,EN,Improving,city,3.833,3.833,6.759,1,Improving,6.288,6.288,7.869,1,Declining,3.807,3.807,6.797,1,Declining,5.331,5.331,6.752,1,Improving,If what was being measured was a positive or negative event and if it decreased or increased over time.,Bachelor's degree in college (4-year),Female,,49,right
11/02/2019 18:35,11/02/2019 18:39,IP Address,100,198,TRUE,11/02/2019 18:39,R_1pFgx3VWaecQOav,,,,,33.85809326,-98.57550049,anonymous,EN,Improving,city,4.841,4.841,5.879,1,Improving,5.813,5.813,7.101,1,Declining,9.538,9.538,10.56,1,Declining,5.763,5.763,7.368,1,Declining,Whether or not the slant was toward the left or right.,Bachelor's degree in college (4-year),Female,,30,right
11/02/2019 18:37,11/02/2019 18:39,IP Address,100,157,TRUE,11/02/2019 18:39,R_2aad9hMX9ykXFVz,,,,,37.75100708,-97.8219986,anonymous,EN,Improving,city,4.874,4.874,6.675,1,Improving,5.983,5.983,7.602,1,Declining,7.504,7.504,10.483,1,Declining,6.297,6.297,8.579,1,Improving,Whether an increase of the item would make the city better or worse.,Bachelor's degree in college (4-year),Female,,44,right
11/02/2019 18:40,11/02/2019 18:49,IP Address,100,516,TRUE,11/02/2019 18:49,R_1dELM3S8emlXwjX,,,,,38.82380676,-90.74320221,anonymous,EN,Improving,city,1.952,6.458,7.584,3,Improving,4.02,4.945,6.056,2,Declining,3.901,7.462,9.691,3,Declining,2.748,8.906,10.141,2,Improving,The line on the graph- which was it was going. And if the topic was good or bad (murders vs vacation),Some college but no degree,Female,,31,right
11/02/2019 18:48,11/02/2019 18:51,IP Address,100,212,TRUE,11/02/2019 18:51,R_2QfyvYzMsVmXIV2,,,,,41.02870178,-74.64289856,anonymous,EN,Improving,city,3.967,4.704,5.758,2,Improving,3.197,4.18,5.134,2,Declining,4.549,6.763,7.654,2,Declining,5.484,6.613,8.071,2,Improving,I considered the trend in which the numbers were going. If the number of murders were going down I assumed that things were improving in the city. If the number of vacation days I assumed that things were improving in the city.,Bachelor's degree in college (4-year),Male,,33,right
11/02/2019 18:58,11/02/2019 19:01,IP Address,100,201,TRUE,11/02/2019 19:01,R_1OuECjyNlfqp9Qp,,,,,36.14300537,-80.30729675,anonymous,EN,Improving,city,6.713,6.713,8.184,1,Improving,6.652,6.652,8.417,1,Declining,5.082,5.082,7.543,1,Declining,6.416,6.416,9.18,1,Improving,"I tried to made deductions based on the graphs I saw. For instance, if the number of cars in the city went up I assumed that was because wealth or population went up because of improved conditions.",Bachelor's degree in college (4-year),Male,,37,right
11/02/2019 18:52,11/02/2019 19:02,IP Address,100,571,TRUE,11/02/2019 19:02,R_AKUDo6W0N4zRlEl,,,,,39.66670227,-105.0854034,anonymous,EN,Improving,city,5.094,5.094,6.265,1,Improving,9.296,10.504,10.961,2,Declining,4.07,4.07,5.701,1,Declining,5.281,5.281,6.641,1,Improving,which way the numbers went from oldest year to recent year and whether it's a good thing or a bad thing,Bachelor's degree in college (4-year),Female,,58,right
11/02/2019 19:04,11/02/2019 19:05,IP Address,100,85,TRUE,11/02/2019 19:05,R_2zSZGcRJxyeChtj,,,,,33.56129456,-112.1442032,anonymous,EN,Improving,city,2.611,2.611,3.101,1,Improving,5.436,5.436,6.229,1,Declining,3.684,3.684,4.376,1,Declining,4.041,4.041,4.659,1,Improving,"murder is bad, vacation is good",Bachelor's degree in college (4-year),Male,,36,left
11/02/2019 18:56,11/02/2019 19:16,IP Address,100,1161,TRUE,11/02/2019 19:16,R_3j6eT1gNqh1c2Do,,,,,40.2749939,-76.80390167,anonymous,EN,Improving,city,337.467,337.707,338.429,2,Improving,5.775,5.775,7.921,1,Declining,7.608,7.608,8.534,1,Improving,7.41,7.41,9.742,1,Improving,"I just had to read the graph and see which way the line went. But it was weird that the options were 'improving' and 'declining' because 2 of the things were murders and even though they were going up, it's weird to say that is improving.",Associate degree in college (2-year),Male,,28,right
11/02/2019 19:18,11/02/2019 19:22,IP Address,100,266,TRUE,11/02/2019 19:22,R_1jPt232xpR8731l,,,,,41.08140564,-81.51899719,anonymous,EN,Improving,city,5.417,5.417,6.722,1,Improving,5.321,5.321,7.513,1,Declining,11.193,11.193,12.877,1,Declining,5.813,5.813,7.043,1,Improving,"I looked at the years and the number of items (murders, vacation days, etc).For example, If the item was a good thing (vacation days) which increased as time went on, I answered ""improving."" If it was something bad (like murders) and it was increasing over time, I answered ""declining."" ",Associate degree in college (2-year),Female,,43,right
11/02/2019 18:51,11/02/2019 19:28,IP Address,100,2259,TRUE,11/02/2019 19:28,R_1irfdVYViQOsuAh,,,,,41.50410461,-72.91670227,anonymous,EN,Declining,city,2.962,8.466,11.265,2,Improving,2.083,2.083,10.954,1,Improving,4.15,4.15,5.509,1,Declining,5.606,5.606,6.353,1,Improving,I looked at the time increase and how the numbers performed over that time period.,Associate degree in college (2-year),Male,,34,right
11/02/2019 19:38,11/02/2019 19:41,IP Address,100,184,TRUE,11/02/2019 19:41,R_3qeg1bvl9YLqGNj,,,,,42.33529663,-83.28639984,anonymous,EN,Neither declining or improving,city,5.383,5.383,6.357,1,Improving,5.056,5.056,6.739,1,Declining,3.948,3.948,7.049,1,Declining,8.814,8.814,13.649,1,Improving,"I looked at the dates and the number of something, then decided if that was good or bad. ",Master's degree,Male,,34,right
11/02/2019 22:34,11/02/2019 22:37,IP Address,100,197,TRUE,11/02/2019 22:37,R_3jVQg5AeWD5FXm0,,,,,31.54640198,-84.07830048,anonymous,EN,Improving,city,4.202,4.202,4.945,1,Improving,7.202,8.652,9.901,2,Declining,4.806,6.854,7.507,2,Declining,8.263,9.772,10.802,2,Improving,I considered the question of whether the things being measured were good or bad.  ,Associate degree in college (2-year),Male,,37,right
11/02/2019 23:24,11/02/2019 23:26,IP Address,100,146,TRUE,11/02/2019 23:26,R_2fEfim8NUjdh5HQ,,,,,32.769104,-96.6053009,anonymous,EN,Declining,city,0.662,1.997,2.533,3,Declining,1.801,1.801,2.658,1,Improving,1.214,2.566,3.064,2,Declining,1.764,1.764,3.044,1,Improving,I considered the direction the trend-line is going as the line is either going up or down over time.,Bachelor's degree in college (4-year),Male,,31,right
11/05/2019 19:07,11/05/2019 19:09,IP Address,100,110,TRUE,11/05/2019 19:09,R_2EjhUnq9l2oMBwB,,,,,34.04299927,-117.7556,anonymous,EN,Improving,cities,2.625,2.625,3.823,1,Improving,2.071,2.071,3.781,1,Declining,4.021,4.021,6.804,1,Declining,4.419,4.419,6.29,1,Declining,the subject matter and the amount in relation to see it if it actually positive or negative,Some college but no degree,Male,,35,left
11/05/2019 18:56,11/05/2019 19:10,IP Address,100,868,TRUE,11/05/2019 19:10,R_3h3gwBhC3Up7sA3,,,,,30.11720276,-81.41190338,anonymous,EN,Improving,city,4.826,4.826,5.598,1,Improving,6.669,6.669,7.343,1,Declining,6.493,8.453,12.4,2,Declining,9.338,9.338,10.012,1,Declining,The murder one was interesting because even though the numbers were increasing but I call it declining because that's bad.  I didn't want to say murders were improving so I clicked declining.  Not good.  For the others I went with the increased or decreased numbers over the years.  ,Associate degree in college (2-year),Female,,55,left
11/05/2019 19:09,11/05/2019 19:13,IP Address,100,255,TRUE,11/05/2019 19:13,R_1EiAbxac3GM0sQu,,,,,40.10360718,-80.73609924,anonymous,EN,Declining,city,9.165,9.165,9.625,1,Improving,1.043,6.122,9.089,2,Declining,6.964,21.585,23.331,4,Declining,6.149,19.976,21.051,4,Declining,"I decided after reading everything, then I went from there.",Associate degree in college (2-year),Female,,37,left
11/06/2019 06:49,11/06/2019 06:53,IP Address,100,194,TRUE,11/06/2019 06:53,R_1LRJCtx8SOwrMsG,,,,,40.90390015,-73.83699799,anonymous,EN,Improving,city,3.174,3.174,3.983,1,Improving,5.132,5.132,6.909,1,Declining,3.098,3.098,4.285,1,Declining,6.238,6.238,6.912,1,Declining,"wordings, main goal of the text, and whether the chart was going left or right",Some college but no degree,Female,,33,left
11/06/2019 08:58,11/06/2019 09:00,IP Address,100,155,TRUE,11/06/2019 09:00,R_2CZehb0UXI9AZux,,,,,33.82409668,-117.5197983,anonymous,EN,Improving,city,4.254,4.254,5.244,1,Improving,4.602,4.602,6.143,1,Declining,5.09,5.09,5.815,1,Declining,4.179,4.179,4.979,1,Improving,looking at both axis and seeing how positive it moves,Associate degree in college (2-year),Male,,35,left
11/06/2019 16:27,11/06/2019 16:29,IP Address,100,114,TRUE,11/06/2019 16:29,R_1DM7nHKRQoYOGDe,,,,,34.68049622,-82.82309723,anonymous,EN,Improving,city,6.682,7.34,8.08,2,Improving,7.268,7.698,8.3,2,Declining,5.608,7.481,8.351,2,Improving,5.148,5.481,6.154,2,Declining,Just tried to follow if things were going up and down according to the graph.,High school graduate (high school diploma or equivalent including GED),Female,,43,left
11/06/2019 18:52,11/06/2019 18:56,IP Address,100,255,TRUE,11/06/2019 18:56,R_pc2mmrZM1lw4iDD,,,,,35.16549683,-101.8856964,anonymous,EN,Declining,city,5.427,5.427,6.948,1,Improving,7.596,10.692,12.058,2,Declining,2.761,2.761,5.042,1,Declining,2.895,15.143,16.575,4,Declining,"Listening or looking at all points of view, relying on past experiences. Finding empirical evidence to support or defend a position ",High school graduate (high school diploma or equivalent including GED),Female,,38,left
11/07/2019 10:29,11/07/2019 10:33,IP Address,100,258,TRUE,11/07/2019 10:33,R_5yAZKj1Nt0wwmCl,,,,,30.16099548,-81.73110199,anonymous,EN,Improving,city,2.854,2.854,4.713,1,Improving,6.939,6.939,7.916,1,Declining,8.574,8.574,10.963,1,Declining,7.808,10.271,10.726,3,Improving,"If the subject was bad, like murders, then I decided the number going down over time was an improvement. If the subject was positive, like vacation days, then I decided that the number going down was a decline.",High school graduate (high school diploma or equivalent including GED),Female,,41,left
11/07/2019 14:18,11/07/2019 14:22,IP Address,100,215,TRUE,11/07/2019 14:22,R_3QEMhGJ3TtHAzKp,,,,,33.79829407,-116.5106049,anonymous,EN,Improving,city,6.098,6.098,10.94,1,Improving,5.009,5.009,6.428,1,Declining,3.3,8.72,11.594,2,Declining,4.313,4.313,5.601,1,Improving,"What the graph was representing (murders, vacation days, etc.)then if it was improving or declining. ",High school graduate (high school diploma or equivalent including GED),Male,,33,left
11/09/2019 07:54,11/09/2019 07:59,IP Address,100,268,TRUE,11/09/2019 07:59,R_3OiRihmmxEpx3Oh,,,,,44.21369934,-69.0766983,anonymous,EN,Declining,city,6.164,9.776,10.556,4,Improving,8.78,8.78,10.2,1,Declining,4.891,7.209,8.118,2,Declining,4.603,6.121,7.03,2,Improving,"Year starting with 2015 and then how the numbers of the various stats went up or down. Had to read carefully, because it was sort of backwards to me, the dropping line is usually worsening but this was sort of follow the line and see what you get at the bottom. ",Some college but no degree,Female,,57,left
11/11/2019 07:42,11/11/2019 07:48,IP Address,100,344,TRUE,11/11/2019 07:48,R_1OOBIfFhIlLs38K,,,,,41.05369568,-85.251297,anonymous,EN,Improving,city,8.08,8.08,9.176,1,Improving,5.186,5.186,6.394,1,Declining,5.738,5.738,6.96,1,Declining,3.852,3.852,4.919,1,Declining,I looked at the graph and tried to determine the answer to the best of my ability ,Bachelor's degree in college (4-year),Female,,33,left
11/11/2019 11:48,11/11/2019 11:50,IP Address,100,125,TRUE,11/11/2019 11:50,R_2zqKTXjtQr2vOg1,,,,,47.67329407,-122.3426056,anonymous,EN,Improving,city,2.972,2.972,4.877,1,Improving,4.544,4.544,6.215,1,Declining,4.766,4.766,6.319,1,Declining,5.891,5.891,7.158,1,Improving,I looked at the number in 2015 compared to that in 2018,Some college but no degree,Female,,53,left
11/12/2019 09:11,11/12/2019 09:17,IP Address,100,333,TRUE,11/12/2019 09:17,R_2fKaRxDbjPqYaS4,,,,,40.07870483,-79.86560059,anonymous,EN,Improving,city,5.97,5.97,8.482,1,Improving,3.414,3.414,4.787,1,Declining,3.758,3.758,7.625,1,Improving,2.894,2.894,4.516,1,Declining,"I got a bit confused on ""improving"" being the word of choice. I took it to mean ""increasing."" Some charts implied improving would be to decline, such as the murder rates. However, I stuck with ""improving"" meaning to increase.",Some college but no degree,Male,,55,left
11/16/19 13:53,11/16/19 13:55,IP Address,100,163,TRUE,11/16/19 13:55,R_UmrsceBtd6Gtw0F,,,,,35.34820557,-83.20279694,anonymous,EN,Improving,city,4.683,4.683,7.046,1,Improving,4.896,4.896,9.878,1,Declining,5.163,5.163,7.229,1,Declining,6.461,6.461,7.206,1,Improving,"I looked at the value for 2015 and the value for 2018 and compared them. Then, I looked at where it was better for there to be a decline or increase and answered appropriately.",Bachelor's degree in college (4-year),Male,,24,left
11/16/19 20:49,11/16/19 20:50,IP Address,100,84,TRUE,11/16/19 20:50,R_4Uf8UuKiXKAyHv3,,,,,30.41319275,-87.313797,anonymous,EN,Declining,city,0.737,1.459,3.231,2,Declining,1.133,1.133,1.536,1,Improving,0.806,1.339,2.334,2,Declining,0.783,1.001,1.657,2,Improving,Are graphs read right to left. Pretty simple,High school graduate (high school diploma or equivalent including GED),Male,,32,left
11/18/19 7:58,11/18/19 8:01,IP Address,100,179,TRUE,11/18/19 8:01,R_9oF7HdIsQKbGg6d,,,,,40.751297,-73.82440186,anonymous,EN,Improving,city,5.221,5.221,6.991,1,Improving,5.323,5.323,6.439,1,Declining,6.144,6.144,8.057,1,Improving,5.551,5.551,8.54,1,Declining,I just looked at the graph and made the choice.,Bachelor's degree in college (4-year),Female,,37,left
11/18/19 20:49,11/18/19 20:53,IP Address,100,250,TRUE,11/18/19 20:53,R_3ozRVXbsBUjdIge,,,,,37.12289429,-93.47579956,anonymous,EN,Improving,city,2.172,3.731,4.91,2,Improving,5.611,7.184,9.319,2,Declining,4.57,11.124,13.031,3,Improving,3.393,5.464,7.455,2,Improving,"I considered the situation to determine whether it was improving or declining. For instance, if there were more murders in 2018, the situation was declining (though 
I answered the first murder graph incorrectly because I Was still determining whether improving was interchangeable for increasing in this study.)",Bachelor's degree in college (4-year),Female,,42,left
11/19/19 15:44,11/19/19 15:49,IP Address,100,270,TRUE,11/19/19 15:49,R_3MQBo5mYDyJb8gq,,,,,37.37780762,-81.11499786,anonymous,EN,Improving,city,6.415,6.415,8.222,1,Improving,8.983,8.983,11.62,1,Declining,7.956,7.956,9.033,1,Declining,12.715,12.715,14.437,1,Improving,"I looked at the chart, the years and numbers to decide if the numbers had went up or down over time.",Some college but no degree,Female,,52,left
11/19/19 16:48,11/19/19 16:53,IP Address,100,315,TRUE,11/19/19 16:53,R_1jSUyDyc9eC8MAP,,,,,38.7769928,-77.1894989,anonymous,EN,Improving,city,2.401,2.401,2.686,1,Declining,3.355,5.824,6.053,5,Improving,2.129,2.329,2.938,2,Improving,2.717,2.717,2.967,1,Declining,"This is a thought experiment in double negatives or double positives. Basically there are two variables, one positive and one negative and I have read the text and apply that to the chart in order to answer the questions.",Bachelor's degree in college (4-year),Male,,24,left
11/19/19 17:33,11/19/19 17:36,IP Address,100,177,TRUE,11/19/19 17:36,R_3iy7mZCXM1QIjBb,,,,,40.69729614,-73.32710266,anonymous,EN,Improving,city,3.247,3.247,4.798,1,Improving,6.54,6.54,7.943,1,Declining,5.641,5.641,8.573,1,Declining,6.173,6.173,10.72,1,Improving,"I had to assess whether the graph was charting a positive or negative phenomenon, then I had to judge which way the trend was heading over time.",Some college but no degree,Male,,41,left
11/19/19 19:13,11/19/19 19:14,IP Address,100,81,TRUE,11/19/19 19:14,R_3KVhHrMoH7jzuF6,,,,,37.34790039,-122.0350952,anonymous,EN,Declining,city,3.823,8.432,9.037,3,Improving,3.547,3.547,4.098,1,Declining,3.392,3.392,3.82,1,Declining,3.621,3.621,4.272,1,Improving,"More murders meant things were declining, more vacation days meant things were improving. Seemed fairly straight forward to assume this. ",Bachelor's degree in college (4-year),Male,,32,left
11/19/19 20:01,11/19/19 20:04,IP Address,100,221,TRUE,11/19/19 20:04,R_sc0cjIuSaGSjywh,,,,,26.31059265,-80.14289856,anonymous,EN,Declining,city,9.597,9.597,11.738,1,Improving,10.46,10.46,11.59,1,Declining,8.62,8.62,9.745,1,Declining,16.662,16.662,17.994,1,Improving,vacations are good.  murders are bad,Bachelor's degree in college (4-year),Male,,33,left
11/21/19 14:38,11/21/19 14:40,IP Address,100,147,TRUE,11/21/19 14:40,R_9nTTyRbAX3F3h9n,,,,,34.00619507,-117.4431992,anonymous,EN,Improving,city,1.982,2.761,3.04,2,Improving,7.389,7.389,8.452,1,Declining,3.049,3.049,4.633,1,Declining,6.073,10.048,14.365,2,Improving,"For the first two situations, the situation ""declining"" meant an increased murder rate over the years. For the last two, more vacations as the years went on meant improving.",Bachelor's degree in college (4-year),Male,,39,left
