Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,G3_V1_time_First Click,G3_V1_time_Last Click,G3_V1_time_Page Submit,G3_V1_time_Click Count,G3_V1_r,G3_V2_time_First Click,G3_V2_time_Last Click,G3_V2_time_Page Submit,G3_V2_time_Click Count,G3_V2_r,G3_V3_time_First Click,G3_V3_time_Last Click,G3_V3_time_Page Submit,G3_V3_time_Click Count,G3_V3_r,G3_V4_time_First Click,G3_V4_time_Last Click,G3_V4_time_Page Submit,G3_V4_time_Click Count,G3_V4_r,Open,Ed,Gender,Gender_5_TEXT,Age,Handed
16,100,86,TRUE,EN,Improving,city,1.381,2.717,2.896,3,Improving,1.884,1.884,2.626,1,Declining,1.076,1.5,2.739,2,Improving,2.082,2.61,3.218,2,Declining,i went off the y axis numbers,Associate degree in college (2-year),Female,NA,34,right
17,100,185,TRUE,EN,Declining,city,5.356,5.356,11.467,1,Declining,4.374,4.374,6.567,1,Declining,1.637,1.637,9.339,1,Declining,1.955,1.955,5.041,1,Improving,I thought about how the information related to similar events in my own city. Made it easier to understand the info.,Bachelor's degree in college (4-year),Male,NA,28,right
18,100,132,TRUE,EN,Declining,city,2.427,3.868,4.2,2,Improving,3.522,4.982,6.156,2,Improving,2.513,10.788,11.739,5,Improving,3.218,4.25,5.032,2,Declining,I looked at the criteria shown and decided whether it had a positive or negative effect.,Bachelor's degree in college (4-year),Female,NA,38,right
19,100,103,TRUE,EN,Declining,city,4.51,4.51,5.71,1,Declining,2.923,3.276,4.639,2,Improving,3.467,3.467,4.4,1,Declining,4.369,4.369,5.281,1,Declining,What the question was asking and the long term pattern.,Bachelor's degree in college (4-year),Female,NA,37,right
20,100,163,TRUE,EN,Declining,city,6.776,9.146,9.444,2,Improving,4.314,4.314,6.689,1,Improving,4.202,9.611,16.262,2,Declining,4.332,4.332,9.156,1,Improving,"I looked at the line on the graph, then I looked at the labels on each axis. After that, I determined if the numbers were going up or down, to determine if the situation was getting better or worse.",Bachelor's degree in college (4-year),Female,NA,29,right
21,100,97,TRUE,EN,Declining,city,0.967,0.967,1.319,1,Declining,1.69,1.69,2.486,1,Improving,2.157,2.157,2.384,1,Improving,2.103,2.103,2.349,1,Declining,i tried to get the target word out of the title and looked at the graph trend and answered as quickly as possible,Bachelor's degree in college (4-year),Male,NA,35,right
22,100,78,TRUE,EN,Declining,city,1.397,1.397,2.038,1,Declining,1.877,2.284,3.108,2,Improving,1.288,1.928,2.39,3,Improving,1.699,1.699,2.185,1,Declining,"I looked at what was changing and whether it was a good or bad thing. Murders going down is good, but lack of vacation days is bad.",Bachelor's degree in college (4-year),Female,NA,31,right
23,100,126,TRUE,EN,Improving,city,3.084,3.084,4.438,1,Improving,3.63,3.63,5.582,1,Declining,2.121,2.121,4.258,1,Declining,9.568,9.568,11.091,1,Improving,Whether the number for what was being measured was higher or lower.,Master's degree,Male,NA,34,right
24,100,818,TRUE,EN,Declining,city,8.464,8.464,11.224,1,Declining,4.687,4.687,5.763,1,Improving,4.347,4.347,5.302,1,Improving,12.169,12.169,13.835,1,Declining,Well I figured murders are a bad thing so even though they were increasing the situation was not improving and vice versa when they were decreasing so the line was inverse to the situation.  But vacation days is a positive thing so the correlation was equal in that more vacation days was an improvement.,Some college but no degree,Male,NA,48,left
25,100,223,TRUE,EN,Declining,city,3.198,3.198,4.094,1,Declining,3.217,3.217,4.128,1,Improving,3.565,3.565,4.413,1,Improving,5.501,5.501,7.192,1,Declining,if murder and vacation days were good or bad,Associate degree in college (2-year),Female,NA,61,right
26,100,647,TRUE,EN,Declining,city,10.137,10.137,10.823,1,Declining,5.596,21.482,22.358,2,Improving,3.199,3.199,3.72,1,Declining,1.874,1.874,2.293,1,Improving,I went by what I thought was right.,Associate degree in college (2-year),Female,NA,36,left
27,100,205,TRUE,EN,Improving,city,8.782,8.782,9.617,1,Improving,8.321,8.321,10.828,1,Declining,11.128,11.128,13.077,1,Declining,6.528,6.528,7.412,1,Improving,"read the numbers on the left...doublechecked the years on the bottom, then made my choice",Master's degree,Male,NA,58,left
28,100,128,TRUE,EN,Declining,city,2.146,2.146,4.28,1,Declining,3.832,3.832,6.053,1,Declining,4.394,4.394,5.177,1,Declining,3.334,13.102,15.46,3,Improving,Whether or not something was going up or down relative to whether up was good/bad or vice versa.,High school graduate (high school diploma or equivalent including GED),Male,NA,35,right
29,100,143,TRUE,EN,Declining,city,1.808,1.808,2.864,1,Declining,6.006,6.006,8.94,1,Improving,2.467,2.467,3.385,1,Improving,4.346,4.346,8.304,1,Declining,i considered the subject matter and whether the change was positive or negative in relation,Some college but no degree,Male,NA,35,left
30,100,158,TRUE,EN,Declining,city,2.643,3.618,4.725,2,Declining,2.537,2.537,3.799,1,Improving,3.185,3.185,4.269,1,Declining,1.925,1.925,3.053,1,Improving,I looked at the direction of the graphs.,Bachelor's degree in college (4-year),Female,NA,36,left
31,100,170,TRUE,EN,Declining,city,5.966,9.096,10.13,4,Declining,4.68,5.695,6.735,2,Improving,3.906,5.038,6.073,2,Declining,5.346,13.751,15.183,4,Improving,"Mostly, whether the graph was trending upward or downward.",Master's degree,Male,NA,34,right
32,100,178,TRUE,EN,Declining,city,9.937,9.937,11.236,1,Declining,3.067,3.067,5.24,1,Improving,7.18,7.18,8.649,1,Improving,5.456,6.876,8.072,2,Improving,I tried to see if the incline was going up or down and whether it was a good thing (improvement) or a bad (decline). ,High school graduate (high school diploma or equivalent including GED),Female,NA,40,left
33,100,288,TRUE,EN,Improving,city,9.709,12.156,13.28,3,Improving,3.547,5.807,6.95,3,Declining,5.425,8.819,9.569,3,Declining,8.313,11.15,12.176,2,Improving,I looked at the number along the left hand side to see whether they were increasing or decreasing. Then thought about what was being measured and if that was a thing that a city would ideally want more of less of.,Bachelor's degree in college (4-year),Female,NA,35,left
34,100,176,TRUE,EN,Declining,city,1.628,1.628,3.863,1,Declining,6.786,6.786,7.873,1,Improving,1.468,1.468,4.915,1,Improving,1.965,1.965,2.555,1,Declining,I looked if the graph was indicating something positive or negative (vacation vs murder) and then checked whether it was increasing or decreasing and rated accordingly. ,Bachelor's degree in college (4-year),Male,NA,29,left
35,100,134,TRUE,EN,Improving,city,3.813,3.813,5.465,1,Improving,2.425,2.425,5.455,1,Declining,6.779,6.779,9.086,1,Declining,3.264,3.264,5.858,1,Improving,I just looked at the graphs and decided whether the number of murders/vacation days was decreasing or increasing over time ,Bachelor's degree in college (4-year),Male,NA,38,left
36,100,90,TRUE,EN,Declining,city,3.341,3.341,4.093,1,Improving,2.247,2.247,2.933,1,Declining,2,2,2.683,1,Improving,2.204,2.204,3.214,1,Improving,"If the left axis was going up and so was the line, it was improving, if it was going down and so was the line, it was declining.",High school graduate (high school diploma or equivalent including GED),Female,NA,32,left
37,100,98,TRUE,EN,Declining,city,4.365,4.365,5.114,1,Improving,2.918,2.918,3.49,1,Declining,3.353,7.905,9.338,2,Declining,2.899,2.899,4.192,1,Declining,Looked at the information displayed on the graph,Some college but no degree,Male,NA,28,left
38,100,388,TRUE,EN,Declining,city,2.085,2.085,3.043,1,Declining,3.474,3.474,5.719,1,Improving,6.085,6.085,7.761,1,Declining,9.624,9.624,12.125,1,Neither declining or improving,"If something negative was lessening then I said it was declining.  If something positive (like vacation days) was increasing then I said it was improving.  The interesting question dealt with a graph that said that the number of murders was increasing.  Since murder is obviously a horrible crime, I could not say that something was improving.  Since the number of murders was increasing I could not say that something was declining.  So for this graph I said neither improving or declining.","Professional degree (JD, MD)",Male,NA,63,left
39,100,220,TRUE,EN,Improving,city,3.722,3.722,4.714,1,Improving,5.738,5.738,9.642,1,Declining,4.123,4.441,5.2,2,Improving,5.61,5.61,6.701,1,Declining,"If the amount of cars was increasing in numbers, I chose increasing I didn't know what the situation improvement was based on so I judged purely on numbers increasing or decreasing ",Some college but no degree,Male,NA,27,left
40,100,88,TRUE,EN,Declining,city,1.905,2.532,5.435,2,Improving,1.945,1.945,2.619,1,Declining,1.879,2.375,3.081,2,Declining,2.419,7.296,8.658,4,Improving,whether something was good or not and whether the number of it was increasing or not,High school graduate (high school diploma or equivalent including GED),Male,NA,28,left
41,100,261,TRUE,EN,Declining,city,53.056,54.197,55.472,2,Declining,2.575,3.794,4.291,2,Improving,1.421,1.421,2.358,1,Declining,2.539,2.539,3.701,1,Improving,the year and every year if it show a sign its going up or down ,High school graduate (high school diploma or equivalent including GED),Male,NA,33,left
42,100,224,TRUE,EN,Declining,city,3.114,3.114,6.962,1,Declining,3.794,3.794,5.268,1,Declining,5.803,17.586,22.523,2,Neither declining or improving,3.803,3.803,9.364,1,Improving,year vs number. ,Bachelor's degree in college (4-year),Female,NA,61,left
43,100,177,TRUE,EN,Declining,cities,0.702,3.807,5.992,4,Declining,1.834,3.501,7.042,3,Improving,1.083,2.5,3.415,2,Declining,1.008,1.911,2.779,2,Improving,If the line went up or down.,High school graduate (high school diploma or equivalent including GED),Female,NA,28,left
44,100,119,TRUE,EN,Improving,city,3.897,3.897,5.035,1,Declining,3.229,3.229,4.57,1,Improving,2.558,5.564,6.385,2,Improving,3.36,3.36,4.289,1,Declining,what the topic was,Doctoral degree,Female,NA,37,left
45,100,78,TRUE,EN,Declining,city,0.523,0.523,1.145,1,Declining,0.545,1.833,2.524,3,Improving,0.572,1.376,1.896,2,Declining,0.985,0.985,1.754,1,Improving,Speed,Bachelor's degree in college (4-year),Male,NA,23,left
46,100,147,TRUE,EN,Improving,city,4.114,4.114,5.301,1,Improving,5.85,5.85,6.752,1,Declining,4.268,4.268,5.987,1,Declining,3.153,3.153,3.9,1,Improving,I looked at the data and went with my gut,Associate degree in college (2-year),Male,NA,34,left
47,100,182,TRUE,EN,Declining,city,4.497,4.497,5.981,1,Declining,6.156,6.156,9.462,1,Improving,7.647,7.647,9.471,1,Declining,5.934,5.934,8.502,1,Declining,I just looked at the information and tried to make my best judgement.,Associate degree in college (2-year),Female,NA,46,left
48,100,133,TRUE,EN,Declining,city,1.854,1.854,3.564,1,Declining,1.981,1.981,5.449,1,Improving,2.756,5.612,7.017,2,Improving,2.947,2.947,6.368,1,Declining,"Whether the y-axis is positive or negative, and the slope of the line (upward, neutral or downward)",Master's degree,Male,NA,29,left
49,100,206,TRUE,EN,Improving,city,5.779,10.731,12.776,2,Improving,5.639,5.639,7.448,1,Declining,3.808,7.232,9.426,3,Declining,3.215,3.215,4.803,1,Improving,"If murders went up then the situation is declining, but for every other scenario listed, when the numbers increase, that usually means the situation is improving in that city.",High school graduate (high school diploma or equivalent including GED),Male,NA,41,left
50,100,147,TRUE,EN,Declining,city,1.226,1.797,4.099,2,Declining,1.927,3.099,4.121,2,Improving,0.964,2.446,3.308,2,Declining,1.466,1.466,2.369,1,Improving,"I looked at the graph, it was going up I said increasing, if it was going down I said declining.",Bachelor's degree in college (4-year),Male,NA,27,left
