Subject,StartDate,EndDate,Status,Progress,DurationSec,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,instructions1,trick,V1_FirstClick,V1_LastClick,V1_PageSubmit,V1_ClickCount,V1_r,V1_c,V2_FirstClick,V2_LastClick,V2_PageSubmit,V2_ClickCount,V2_r,V2_c,V3_FirstClick,V3_LastClick,V3_PageSubmit,V3_ClickCount,V3_r,V3_c,V4_FirstClick,V4_LastClick,V4_PageSubmit,V4ClickCount,V4_r,V4_c,Open,GL1,GL2,GL3,GL4,GL5,GL6,GL7,GL8,GL9,GL10,GL11,GL12,GL13,Ed,Gender,Gender_5_TEXT,Age
260,05/04/2019 23:22,05/04/2019 23:27,IP Address,100,253,TRUE,05/04/2019 23:27,R_pKR0qRoxrUj9XGx,,,,,13.08430481,80.28048706,anonymous,EN,Improving,quickly,0,0,1.686,0,Improving,4,1.334,1.334,2.406,1,Improving,4,2.769,2.769,3.69,1,Improving,4,2.319,2.319,3.456,1,Improving,4,Verifying your understanding of the problems,35,15,25,25,20,From 2000 to 2005,25,80,80,They are equal,They are equal,The increase was equal,5,Bachelor's degree in college (4-year),Male,,38
261,05/04/2019 23:18,05/04/2019 23:27,IP Address,100,552,TRUE,05/04/2019 23:27,R_3nMo4KrLlU7OEcM,,,,,44.99479675,-93.25479889,anonymous,EN,Improving,quickly,0,0,1.304,0,Improving,5 (very confident),4.642,13.718,14.976,6,Declining,5 (very confident),1.324,8.711,9.387,5,Declining,5 (very confident),2.11,7.219,9.025,7,Improving,5 (very confident),"Weather the numbers were inclining or declining, and if this was a good or bad thing effecting the town.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Associate degree in college (2-year),Female,,43
262,05/04/2019 23:36,05/04/2019 23:39,IP Address,100,219,TRUE,05/04/2019 23:39,R_C97vHFW9WjsCEY9,,,,,13.08430481,80.28048706,anonymous,EN,Improving,quickly,0,0,1.003,0,Improving,4,1.907,1.907,3.258,1,Improving,4,4.759,4.759,5.81,1,Improving,4,1.887,1.887,2.968,1,Improving,4,Prioritize the problems,35,10,25,25,20,From 2000 to 2005,25,80,80,They are equal,They are equal,The increase was equal,5,Bachelor's degree in college (4-year),Male,,27
263,06/04/2019 01:06,06/04/2019 01:21,IP Address,100,890,TRUE,06/04/2019 01:21,R_3q9X5vDtbUnzhRO,,,,,37.01899719,-86.4536972,anonymous,EN,Improving,quickly,0,0,6.025,0,Improving,5 (very confident),20.439,23.286,25.384,2,Improving,4,5.273,6.455,7.621,2,Improving,5 (very confident),11.352,12.301,13.517,2,Declining,4,Just read the graph,35,45,25,25,20,From 2000 to 2005,25,40,20,Crosicol,Nopsorian,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Female,,33
264,06/04/2019 01:50,06/04/2019 01:56,IP Address,100,379,TRUE,06/04/2019 01:56,R_2P1qvlbgj6zzdQp,,,,,35.14889526,136.9014893,anonymous,EN,Declining,quickly,0,0,2.001,0,Declining,5 (very confident),1.453,2.953,4.501,2,Improving,5 (very confident),2.496,4.471,5.999,3,Improving,3,1.515,4.294,6.178,2,Improving,3,I was unsure of the murders on as it is negative when numbers go up and positive when they go down.,35,15,25,25,20,Increase was the same in both intervals,25,40,60,They are equal,Nopsorian,Tiosis,50,Bachelor's degree in college (4-year),Female,,32
265,06/04/2019 03:48,06/04/2019 03:54,IP Address,100,340,TRUE,06/04/2019 03:54,R_3KwwL6Q0mK65j4B,,,,,40.70530701,-74.08660126,anonymous,EN,Declining,quickly,0,0,1.615,0,Declining,5 (very confident),2.213,2.213,3.64,1,Improving,5 (very confident),1.497,1.497,2.652,1,Declining,4,4.776,4.776,9.318,1,Improving,3,I observed the slope of the line on the graph and then I considered the what the graph was measuring.,35,5,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,Bachelor's degree in college (4-year),Male,,34
266,06/04/2019 05:37,06/04/2019 05:45,IP Address,100,497,TRUE,06/04/2019 05:45,R_3O2hzdKJqWlrL0h,,,,,42.64289856,-83.354599,anonymous,EN,Improving,quickly,0,0,1.248,0,Improving,4,14.759,14.759,15.69,1,Declining,3,15.145,15.145,17.221,1,Declining,3,4.284,4.284,5.362,1,Improving,4,"Direction of graph, vagaries of the questions.  ",35,10,25,25,20,From 2000 to 2005,22,40,20,Hertinol,Nopsorian,Tiosis,7,Bachelor's degree in college (4-year),Male,,51
267,06/04/2019 06:06,06/04/2019 06:15,IP Address,100,540,TRUE,06/04/2019 06:15,R_1CDA4wx2eFNvwz7,,,,,41.12600708,-78.75270081,anonymous,EN,Improving,quickly,0,0,3.78,0,Improving,5 (very confident),7.023,7.023,8.642,1,Declining,5 (very confident),6.677,6.677,9.213,1,Improving,5 (very confident),7.595,7.595,10.103,1,Declining,5 (very confident),I paid attention to the direction the graph was going (left or right) which showed me whether the situation was improving or worsening.  ,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,They are equal,Tiosis,5,Bachelor's degree in college (4-year),Female,,53
268,06/04/2019 06:25,06/04/2019 06:35,IP Address,100,587,TRUE,06/04/2019 06:35,R_REbm9uSjFI1Ux9v,,,,,40.00860596,-74.78959656,anonymous,EN,Improving,quickly,0,0,2.39,0,Improving,5 (very confident),9.242,9.242,11.072,1,Declining,5 (very confident),7.641,7.641,8.911,1,Improving,5 (very confident),5.922,5.922,7.489,1,Declining,5 (very confident),I used the graph to see if the numbers went up or down over time.,35,5,25,25,20,From 2000 to 2005,27,40,20,They are equal,Nopsorian,Tiosis,5,Master's degree,Female,,68
269,06/04/2019 07:07,06/04/2019 07:13,IP Address,100,333,TRUE,06/04/2019 07:13,R_2arvSpruk0x1UjN,,,,,42.33940125,-122.8475037,anonymous,EN,Declining,quickly,2.83,2.83,3.428,1,Declining,5 (very confident),0.9,3.191,3.832,4,Improving,5 (very confident),1.128,5.144,6.434,5,Improving,5 (very confident),0.823,3.758,4.763,4,Declining,5 (very confident),"We are talking about vacation days and murders so basically if the number of vacation days is going down things are getting worse, if up improving. For murders it is the opposite.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,,43
270,06/04/2019 07:10,06/04/2019 07:25,IP Address,100,861,TRUE,06/04/2019 07:25,R_PYDzgKhvdBHLf7r,,,,,33.56309509,-117.2738037,anonymous,EN,Improving,quickly,0,0,2.898,0,Improving,5 (very confident),8.793,8.793,10.924,1,Declining,5 (very confident),13.985,13.985,15.942,1,Improving,5 (very confident),8.468,8.468,10.995,1,Declining,5 (very confident),"If the chart showed an increase, I chose ""improving."" If it showed a decrease, I chose ""declining.""",35,15,25,25,20,From 2000 to 2005,25,40,60,Crosicol,Nopsorian,Tiosis,5,Associate degree in college (2-year),Female,,59
271,06/04/2019 08:15,06/04/2019 08:22,IP Address,100,428,TRUE,06/04/2019 08:22,R_3M4dEm1iUqf35oT,,,,,30.27909851,-89.76789856,anonymous,EN,Declining,quickly,0,0,1.554,0,Declining,5 (very confident),2.117,2.117,3.227,1,Improving,5 (very confident),2.149,2.149,3.325,1,Improving,5 (very confident),2.134,3.75,5.771,2,Declining,4,I considered what the graph was representing. Based on that I decided whether the situation was improving or declining.,35,15,25,25,20,From 1975 to 1980,25,40,60,Crosicol,Nopsorian,Tiosis,5,Some college but no degree,Female,,34
272,06/04/2019 08:25,06/04/2019 08:49,IP Address,100,1387,TRUE,06/04/2019 08:49,R_2WwN2vwttg4MHCW,,,,,40.96369934,-81.4210968,anonymous,EN,Improving,quickly,0,0,133.131,0,Improving,5 (very confident),3.966,6.365,6.977,3,Declining,5 (very confident),2.022,4.101,4.9,2,Declining,5 (very confident),7.292,8.551,9.941,2,Improving,5 (very confident),I considered whether the numbers were going up or down and if it was good or bad,35,15,25,25,20,From 2000 to 2005,25,40,20,Crosicol,Nopsorian,Tiosis,40,Some college but no degree,Female,,50
273,06/04/2019 09:05,06/04/2019 09:10,IP Address,100,313,TRUE,06/04/2019 09:10,R_1giLahtjGTY0Neu,,,,,42.73550415,-89.04049683,anonymous,EN,Neither declining or improving,quickly,0,0,1.821,0,Improving,5 (very confident),3.301,3.301,5.513,1,Improving,4,3.306,3.306,5.81,1,Improving,1 (not at all confident),5.697,5.697,10.367,1,Improving,5 (very confident),"I considered if there were more or fewer murders as time progressed, or more or less vacation days as time progressed. Some of the graphs were very misleading, however.",35,10,25,25,20,Increase was the same in both intervals,24,40,20,Crosicol,Can’t say,Tiosis,50,Master's degree,Female,,36
274,06/04/2019 09:23,06/04/2019 09:27,IP Address,100,233,TRUE,06/04/2019 09:27,R_12ciTZvmNzFUqc5,,,,,37.01899719,-86.4536972,anonymous,EN,Declining,quickley,0,0,0.694,0,Declining,5 (very confident),3.903,3.903,4.512,1,Improving,5 (very confident),1.581,1.581,1.814,1,Improving,5 (very confident),4.528,4.815,5.406,2,Declining,5 (very confident),Just looking at the graph,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,,29
275,06/04/2019 10:40,06/04/2019 10:53,IP Address,100,769,TRUE,06/04/2019 10:53,R_BRlGD0rJninj0LD,,,,,9.449996948,77.81671143,anonymous,EN,Improving,quickly,0,0,2.87,0,Improving,5 (very confident),6.898,6.898,11.383,1,Declining,5 (very confident),11.716,11.716,15.724,1,Improving,5 (very confident),17.084,17.084,18.505,1,Declining,5 (very confident),I just look in to the X axis data and the line drawn and make my decision.,70,30,25,25,67,Increase was the same in both intervals,83,40,60,Crosicol,Apsoriatin,Tiosis,50,Master's degree,Male,,36
276,06/04/2019 11:43,06/04/2019 11:51,IP Address,100,474,TRUE,06/04/2019 11:51,R_2BsUpAlpYPZvuLa,,,,,40.78570557,-111.9291,anonymous,EN,,quickly,5.829,5.829,6.707,1,Improving,5 (very confident),5.696,5.696,7.356,1,Declining,4,13.019,13.019,15.34,1,Declining,4,4.78,6.426,7.104,2,Improving,5 (very confident),"Well, I am not sure if I answered the way you wanted, i.e., with the number of murders one -- I went under the assumption that if the murder rate rose that would indicate a decline",35,15,25,25,20,From 2000 to 2005,25,40,60,Hertinol,Nopsorian,Coliosis,5,Associate degree in college (2-year),Female,,61
277,06/04/2019 12:55,06/04/2019 13:02,IP Address,100,412,TRUE,06/04/2019 13:02,R_1mruhcem0cgPuDz,,,,,33.78379822,-84.44550323,anonymous,EN,Improving,quickly,0,0,2.084,0,Improving,5 (very confident),10.314,10.314,14.24,1,Declining,5 (very confident),10.319,27.62,28.765,3,Improving,3,12.133,12.133,13.694,1,Declining,5 (very confident),I just read a graph like I normally would. Only thing that was off/confusing was the x axis is in reverse order compared to a normal graph. ,35,10,25,25,20,Increase was the same in both intervals,25,40,10,Crosicol,Nopsorian,Tiosis,50,Master's degree,Male,,31
278,06/04/2019 13:24,06/04/2019 13:39,IP Address,100,867,TRUE,06/04/2019 13:39,R_1doYZYYMORGXD1g,,,,,37.2868042,-82.87409973,anonymous,EN,Declining,quickly ,0,0,2.545,0,Improving,5 (very confident),12.269,12.269,13.715,1,Declining,5 (very confident),4.684,24.808,25.567,2,Declining,3,5.416,5.416,9.832,1,Improving,4,Graph info only.,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,Associate degree in college (2-year),Male,,28
279,06/04/2019 14:26,06/04/2019 14:48,IP Address,100,1331,TRUE,06/04/2019 14:48,R_wUboxt4XNhoxDUt,,,,,27.77619934,-97.42710114,anonymous,EN,Improving,quickly,0,0,3.841,0,Improving,5 (very confident),9.759,9.759,10.621,1,Declining,5 (very confident),22.653,22.653,25.537,1,Improving,4,7.231,7.231,12.589,1,Improving,5 (very confident),"I look at the years in the graph and move my eyes in the direction the years are listed. I also look at the thing being measured and adjust my thinking accordingly--a word like ""murder"" with a larger number value is not ""improving"".",35,15,25,25,20,Increase was the same in both intervals,24,40,20,They are equal,Can’t say,Tiosis,5,Bachelor's degree in college (4-year),Male,,64
280,06/04/2019 14:49,06/04/2019 14:56,IP Address,100,452,TRUE,06/04/2019 14:56,R_3MJrotip3Yocnh6,,,,,42.07020569,-72.62270355,anonymous,EN,Improving,quickly,0,0,3.153,0,Improving,5 (very confident),5.135,5.135,7.258,1,Declining,5 (very confident),6.513,6.513,9.922,1,Improving,3,5.946,5.946,9.571,1,Declining,5 (very confident),I just looked at the graph and the numbers.,70,20,25,25,7,Increase was the same in both intervals,25,40,10,Hertinol,Nopsorian,Tiosis,5,Master's degree,Female,,57
281,06/04/2019 15:42,06/04/2019 15:50,IP Address,100,501,TRUE,06/04/2019 15:50,R_2B9xq1w6sPNLGqj,,,,,30.54780579,-96.27149963,anonymous,EN,,quickly,0,0,5.156,0,Improving,5 (very confident),3.533,6.086,6.913,4,Declining,5 (very confident),1.799,3.739,5.374,3,Improving,5 (very confident),3.368,6.784,7.543,4,Improving,5 (very confident),I just looked at if there was more or less of the subject over time.,35,5,25,25,20,From 2000 to 2005,25,40,20,They are equal,Nopsorian,Tiosis,50,High school graduate (high school diploma or equivalent including GED),Female,,65
282,06/04/2019 17:14,06/04/2019 17:26,IP Address,100,684,TRUE,06/04/2019 17:26,R_OeVxArsT7fzyanD,,,,,36.12199402,-115.0859985,anonymous,EN,Improving,quickly,0,0,4.084,0,Improving,5 (very confident),4.229,4.229,6.227,1,Declining,5 (very confident),9.175,9.175,11.651,1,Declining,5 (very confident),7.79,7.79,12.62,1,Improving,5 (very confident),"If the graph was showing data for something positive (vacations) or negative (murders).  If it was something positive and the numbers were increasing, I considered this as improving.  If it was something negative and increasing, I saw this as declining.",35,15,25,25,20,Increase was the same in both intervals,24,40,20,They are equal,Can’t say,Tiosis,5,Some college but no degree,Male,,46
283,06/04/2019 18:48,06/04/2019 18:53,IP Address,100,317,TRUE,06/04/2019 18:53,R_XtUthOesYJTaS09,,,,,39.89489746,-76.14649963,anonymous,EN,Improving,quickly,0,0,1.094,0,Improving,5 (very confident),5.101,5.101,5.896,2,Declining,5 (very confident),6.401,6.548,7.699,2,Declining,4,7.683,7.695,9.189,2,Improving,3,I read the graphs to make my judgements.,36,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Female,,37
284,06/04/2019 20:02,06/04/2019 20:08,IP Address,100,368,TRUE,06/04/2019 20:08,R_2QSA518JTZnWdJn,,,,,36.23930359,-78.90190125,anonymous,EN,Improving,quickly,1.23,1.23,2.336,1,Improving,4,3.6,3.6,4.595,1,Declining,4,3.776,3.776,4.981,1,Declining,5 (very confident),4.579,4.579,5.806,1,Improving,5 (very confident),"With vacation days I saw more vacation days and improving and less as declining. With murders, more was declining and less was improving.",35,15,25,12,20,From 2000 to 2005,25,40,60,Crosicol,Nopsorian,Tiosis,50,High school graduate (high school diploma or equivalent including GED),Female,,39
285,06/04/2019 20:12,06/04/2019 20:24,IP Address,100,696,TRUE,06/04/2019 20:24,R_1NwFCc3myf0kXfk,,,,,30.2684021,-91.25240326,anonymous,EN,Improving,quickly,0,0,122.779,0,Declining,5 (very confident),7.733,7.733,8.773,1,Declining,5 (very confident),5.48,5.48,6.679,1,Improving,5 (very confident),7.667,7.667,8.794,1,Declining,4,"I looked at the direction the numbers were going, either lower or higher, then I looked at the direction the years were going, either lower or higher, then looked at the graph line and made a decision as to whether it meant that things were getting better or worse. Or, Improving/Declining.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Hertinol,Nopsorian,Tiosis,5,Some college but no degree,Female,,43
286,06/04/2019 20:49,06/04/2019 20:56,IP Address,100,422,TRUE,06/04/2019 20:56,R_323lS4etOu4dwkp,,,,,41.3526001,-88.84159851,anonymous,EN,Improving,quickly,0,0,1.619,0,Improving,4,3.448,4.486,5.579,2,Improving,5 (very confident),3.317,12.379,13.501,3,Declining,4,12.083,18.471,19.789,4,Declining,5 (very confident),Looked at the graphs and made my decisions. What else do you want to know?,35,15,25,25,20,From 2000 to 2005,25,40,20,Hertinol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,,46
287,06/04/2019 21:22,06/04/2019 21:46,IP Address,100,1427,TRUE,06/04/2019 21:46,R_vDCTAHKHUISDWyl,,,,,10.99099731,76.96670532,anonymous,EN,Improving,quickly,0,0,70.48,0,Improving,5 (very confident),2.837,2.837,7.043,1,Declining,5 (very confident),5.271,5.271,13.707,1,Improving,5 (very confident),5.904,5.904,14.1,1,Declining,5 (very confident),My decisions are based on year and the number.,35,15,25,25,20,From 1975 to 1980,24,40,20,They are equal,Nopsorian,Tiosis,5,Master's degree,Male,,39
